Apartment		Rent	Bed	Bath	CrimeRt	Sqft	Doorman
95WallStreet		5168	2	1	1.26	1075	1	
10HanoverSquare		2723	0	1	1.26	557	1	
99JohnSt		4600	2	2	1.26	955	1	
295GreenwichSt		3250	1	1	1.26	675	1	
21WestSt		2495	0	1	1.26	525	1	
70BatteryPlace		4625	2	2	1.26	910	1	
75WestSt		2950	1	1	1.26	705	1	
380Rector		6495	2	2	1.26	1075	1	
325NorthEndAve		10000	2	2.5	1.26	1800	1	
20RiverTerrace		4995	1	1	1.26	813	1	
1AMercerStreet		7850	1	1.5	1.26	1400	0
376Broadway		3600	2	1.5	1.26	900	1	
151RidgeSt		3200	2	1	0.8179	550	0	
210Lafayette		3500	0	1	1.386	446	1	
530Grand		1900	1	1	0.8179	800	0	
132OrchardSt		1800	1	1	0.8179	400	0	
67PittSt		2000	1	1	0.8179	675	0	
175EastBroadway		5500	3	2	0.8179	1100	1	
146EastBroadway		2900	2	1	0.8179	600	0	
47DelanceySt		2395	2	1	0.8179	675	0	
47DelanceySt2		3295	3	1	0.8179	950	0	
126Ludlow		3495	2	1	0.8179	900	0	
41AvenueB		3595	2	1	1.19	700	0	
229E2			6250	2	1	1.19	1226	0	
283E4			2200	1	1	1.19	550	0	
394E8			3095	2	1	1.19	700	0	
337E8			7999	2	1.5	1.19	2300	0
215AvenueB		4000	1	1	1.19	712	0	
431E12			4950	1	1	1.19	1600	0	
425E13			3995	1	1.5	1.19	700	1	
224E11			3295	1	1	1.19	800	0	
16StMarks		2350	1	1	1.19	659	0	
812ndAve		4700	3	1	1.19	700	0	
218E5			2995	1.5	1	1.19	700	0	
511E20			5319	2	2	1.559	1211	0	
8PeterCooper		3516	1	1	1.559	944	0	
3901stAve		5814	2	2	1.559	1211	0	
3052ndAve		4500	1	1	1.559	980	1	
205E14			2875	1	1	1.559	725	0	
1233rdAve		5000	1	1	1.559	649	1	
2255thAve		8200	2	2	1.559	1280	1	
105W29			6290	1	1	1.559	747	1	
55W25			3900	0	1	1.559	530	1	
55W26			4207	1	1	1.559	616	1	
7776thAve		4195	1	1	1.559	704	1	
8006thAve		3805	0	1	1.559	835	1	
315W30			2180	1	1	1.515	650	0	
349W30			6400	4	2.5	1.515	1400	0	
505W37			5225	2	2	1.515	1079	1	
350W42			4300	1	1	1.515	885	1	
350W422			3850	1	1	1.515	818	1	
555W23			6995	2	2	1.515	1100	1	
405W23			3500	0	1	1.515	600	1	
452W23			2400	1	1	1.515	500	0	
441W22			2900	1	1	1.515	625	0	
455W20			12000	2	2	1.515	1491	1	
450W17			11000	1	1	1.515	1024	1	
324W15			6000	1	1	1.515	900	0	
212W18			34000	2	2.5	1.515	2104	1	
201W17			6500	2	2	1.515	1203	1	
567thAve		25000	3	3.5	1.515	2500	1	
777thAve		3000	1	1	1.515	625	1	
208W23			3500	1	1	1.515	650	1	
360W43			3450	1	1	9.249	800	1	
127E34t			4495	2	1	9.249	1400	1	
115E34			3625	1	1	9.249	800	1	
139E33			2250	0	1	9.249	500	1	
33W56			18000	3	3.5	3.144	2023	1	
33W562			6995	1	1.5	3.144	1055	1	
106CentralParkSouth	9350	2	2.5	3.144	1200	0	
117W58			3525	2	1	3.144	800	1	
57W58			6600	2	2	3.144	1080	1	
58W58			6499	2	2	3.144	1064	1	
1CentralParkSouth	5000	0	1	3.144	695	1	
550W54			3800	1	1	3.144	650	1	
550W542			3350	1	1	3.144	550	1	
332W57			5100	1	1	3.144	757	1	
322W57			25000	4	4.5	3.144	2750	1	
347W57			4100	1	1.5	3.144	850	1	
350W50			5700	2	2	3.144	1090	1	
393W49			3000	1	1	3.144	673	1	
348W49			2200	1	1	3.144	600	1	
188E64			5200	1	1.5	0.6578	980	0	
150E65			23500	4	3.5	0.6578	3570	0	
140E63			14000	2	2	0.6578	1851	1	
32E76			4950	1	1.5	0.6578	962	0	
177E77			3950	1	1	0.6578	1038	0	
151E85			22000	3	3	0.6578	2056	0	
333E86			1550	0	1	0.6578	550	0	
16233rdAve		2950	1	1	0.6578	833	1	
16413rdAve		4490	2	2	0.6578	1250	1	
163E92			2650	2	1	0.6578	800	0	
408E92			3100	1	1	0.6578	725	1	
402E90			4195	2	2	0.6578	1300	0	
200E82			12249	3	3	0.6578	1617	1	
157E82			22000	6	6	0.6578	5176	0
40E94			17500	3	3	0.6578	1830	1	
64E94			3500	1	1	0.6578	750	0	
265E66			4400	1	1	0.6578	985	1	
200E66			5000	1	1	0.6578	919	1	
225W83			3650	1	1	0.7990	780	1	
165W82			4000	2	1	0.7990	1000	0	
200W83			2999	1	1	0.7990	800	1	
223W80			9400	2	2	0.7990	1562	1	
2109Broadway		5800	1	1	0.7990	1110	1	
201W74			3500	1	1	0.7990	750	1	
180RiversideBlvd	3400	1	1	0.7990	619	1	
200RiversideBlvd	3350	1	1	0.7990	722	1	
101WestEndAve		3335	1	1	0.7990	689	1	
80RiversideBlvd		4999	1	1	0.7990	745	1	
15CentralParkWest	78000	4	4.5	0.7990	3831	1	
30W63			4395	1	1	0.7990	639	1	
1ColumbusPlace		4600	1	1	0.7990	776	1	
124W60			3450	1	1	0.7990	618	1	
229W60			4295	1	1	0.7990	1116	1	
200W60			4200	1	1	0.7990	807	1	
327CentralParkWest	4500	1	1.5	0.8172	956	1	
55W92			4375	2	2	0.8172	1000	0	
750ColumbusAve		4820	2	2	0.8172	972	1	
808ColumbusAve		3700	1	1	0.8172	648	1	
900WestEndAve		3975	2	1	0.8172	1000	1	
290RiversideDrive	3750	2	1	0.8172	900	0	
211W106			2750	1	1	0.8172	750	1	
210W96			9975	3	3	0.8172	1750	1	
247W87			1880	3	2	0.8172	1880	1	
204W88			2999	2	1	0.8172	700	0	
200W90			3150	1	1.5	0.8172	800	0	
476CentralParkWest	1999	1	1	0.8172	500	0	
4W104			2450	1	1	0.8172	750	0	
342W87			8295	3	2	0.8172	1400	0	
175W87			4300	2	1	0.8172	1200	1	
444ManhattanAve		2350	1	1	1.295	601	1	
279W117			2750	2	1	1.295	700	1	
21038thAve		2195	1	1	1.295	660	0	
21W121			3400	3	1	1.295	1100	0
207CentralParkN		2200	1	1	1.295	700	0	
301W110			3800	2	1.5	1.295	905	1	
261W112			3700	2	2	1.295	1061	0	
258SaintNicholasAve	3900	1	2	1.295	1320	1	
136W123			3800	3	2	1.295	1497	0	
20W120			2750	1	1	1.295	1100	0	
104E129			3175	3	1	1.434	1300	0	
219E120			2750	3	1	1.434	1100	0
221E120			2749	3	1	1.434	1100	0	
425E114			1295	0	1	1.434	500	0	
317E111			2150	1	1	0.9575	720	1	
1408MadisonAve		2000	1	1	0.9575	650	0	
101E116			2095	0	1	1.434	650	0	
552W157			2250	2	1	0.9226	1200	0	
556W156			1350	0	1	0.9226	510	0	
453W152			1525	1	1	0.8074	750	0	
736StNicholasAve	2200	1	1	0.8074	900	0	
95CabriniBlvd		3500	2	1	0.8074	1400	0	
105ArdenSt		1350	1	1	0.8074	580	0	
4700Broadway		1980	2	2	0.5130	1200	0	
131FortGeorge		1799	2	1	0.5130	900	0	
121FortGeorgeAve	1440	1	1	0.5130	750	0	
675AcademySt		1675	1	1	0.5130	660	0	
53Cooper		1344	1	1	0.5130	700	0	
