Address		Rent	Bed	Bath	Sqft	Doorman
88Greenwich	2750	0	1	535	1
90Washington	2550	0	1	547	1
1WestSt		4895	1	1	979	1
53ParkPlace	6750	2	2	1300	1
50MurraySt	7195	2	2	1600	1
18VeseySt	8995	2	2.5	1600	1
59CanalSt	4995	3	2	1400	0
50BayardSt	2650	1	1	800	1
50Franklin	7200	2	2	1123	1
259Elizabeth	6000	2	2	1300	0
19Prince	4500	1	1	850	0
43Spring	2700	1	1	650	0
341W11		5500	2	2	1100	0
1MortonSq	15500	3	3	1800	1
140CharlesSt	3800	0	1	575	1
5256thAve	4100	1	1	900	0
151W16		3100	1	1	700	0
521E14		5292	2	1	960	0
3StuyvesantOval	3548	1	1	733	0
445E14		3298	1	1	771	0
308E38		4995	2	2	1041	1
304E41		2675	1	1	650	1
7632ndAve	5500	4	1	1000	0
59810thAve	4995	3	1.5	1200	0
240CentralParkS	4200	1	1	850	1
235W56		3650	0	1	650	0
408W57		7000	1	1	900	1
16233rdAve	2950	1	1	790	1
324E91		2800	2	1	750	0
234E90		2185	2	1	950	0
2150Broadway	19000	3	3	2216	1
20W64		8900	2	2	1300	1
60RiversideBlvd	8899	2	2.5	1487	1
120RiversideBl	6100	2	2	1071	1
163E92		2650	2	1	800	0
3255thAve	4900	1	1.5	880	1
3W36		3595	1	1	720	1
11E29		6750	2	2	1159	1
231W25		2550	1	1	550	1
1MorningsideDr	5945	2	2	1061	0
22962ndAve	2700	3	1	1000	0
249E118		2750	2	2	960	1
440E117		3000	2	2	952	1
131FtGeorge	1605	2	1	900	0
4500Broadway	2075	2	1	1000	0
609W191		2350	3	1	1200	0
118Wooster	6850	1	1.5	1300	1
149Grand	4500	0	1	700	1
100JohnSt	3495	0	1	673	1
299W12		5300	1	1	800	1
