DATE	VALUE	HAI	CONS	PRICE	UNEMP	MORT
1999-01-01	5230000	138.4	242862	153100	4.3	6.79
1999-02-01	5100000	140.8	251260	160000	4.4	6.81
1999-03-01	5150000	138.3	253110	157300	4.2	7.04
1999-04-01	5080000	137.1	244859	159900	4.3	6.92
1999-05-01	5190000	134.4	242211	154400	4.2	7.15
1999-06-01	5430000	128.8	249433	159300	4.3	7.55
1999-07-01	5250000	127.6	255008	158200	4.3	7.63
1999-08-01	5230000	126.5	246083	154800	4.2	7.94
1999-09-01	5120000	126.9	247860	163200	4.2	7.82
1999-10-01	5110000	129.8	246803	161100	4.1	7.85
1999-11-01	5090000	129.7	255740	172000	4.1	7.74
1999-12-01	5080000	129.6	257380	164800	4.0	7.91
2000-01-01	5230000	126.0	247213	163500	4.0	8.21
2000-02-01	5120000	126.6	265200	162400	4.1	8.33
2000-03-01	5190000	125.1	268020	165100	4.0	8.24
2000-04-01	5200000	124.1	264832	162600	3.8	8.15
2000-05-01	5110000	121.0	275989	164700	4.0	8.52
2000-06-01	5130000	118.4	271873	160100	4.0	8.29
2000-07-01	5110000	H	274805	169000	4.0	8.15
2000-08-01	5170000	119.3	284502	166600	4.1	8.03
2000-09-01	5290000	120.3	289543	171500	3.9	7.91
2000-10-01	5250000	124.6	286731	176300	3.9	7.80
2000-11-01	5350000	125.0	288986	174700	3.9	7.75
2000-12-01	5100000	126.4	281975	162000	3.9	7.38
2001-01-01	5100000	134.7	278005	171300	4.2	7.03
2001-02-01	5230000	135.2	270735	169100	4.2	7.05
2001-03-01	5450000	131.6	280450	166300	4.3	6.95
2001-04-01	5320000	132.3	278653	175200	4.4	7.08
2001-05-01	5270000	128.6	281069	175300	4.3	7.15
2001-06-01	5430000	122.9	284499	179400	4.5	7.16
2001-07-01	5430000	123.4	279200	175000	4.6	7.13
2001-08-01	5480000	124.7	274690	173700	4.9	6.95
2001-09-01	5230000	129.7	270320	166400	5.0	6.82
2001-10-01	5250000	134.8	268404	171300	5.3	6.62
2001-11-01	5240000	134.9	260359	168100	5.5	6.66
2001-12-01	5490000	127.3	264194	180200	5.7	7.07
2002-01-01	5860000	129.1	263731	187100	5.7	7.00
2002-02-01	5900000	130.1	256668	191100	5.7	6.89
2002-03-01	5630000	128.3	252252	183400	5.7	7.01
2002-04-01	5670000	126.2	250341	187100	5.9	6.99
2002-05-01	5640000	125.4	241636	181000	5.8	6.81
2002-06-01	5510000	120.4	235344	190600	5.8	6.65
2002-07-01	5410000	123.4	229426	175600	5.8	6.49
2002-08-01	5360000	127.9	227442	178900	5.7	6.29
2002-09-01	5520000	130.4	224568	177500	5.7	6.09
2002-10-01	5680000	131.9	228572	189200	5.7	6.11
2002-11-01	5730000	131.4	228716	181200	5.9	6.07
2002-12-01	5970000	129.6	222509	197600	6.0	6.05
2003-01-01	6030000	135.8	226819	181700	5.8	5.92
2003-02-01	6020000	137.1	225646	187000	5.9	5.84
2003-03-01	5860000	136.6	229653	185100	5.9	5.75
2003-04-01	5840000	136.1	227092	189500	6.0	5.81
2003-05-01	5940000	135.0	232573	195500	6.1	5.48
2003-06-01	5940000	132.0	231498	187900	6.3	5.23
2003-07-01	6270000	131.7	224707	190200	6.2	5.63
2003-08-01	6520000	128.5	228595	190500	6.1	6.26
2003-09-01	6580000	127.0	233700	192000	6.1	6.15
2003-10-01	6390000	129.2	233121	194100	6.0	5.95
2003-11-01	6230000	130.4	226077	207100	5.8	5.93
2003-12-01	6490000	127.4	232151	196000	5.7	5.88
2004-01-01	6230000	134.3	227349	209500	5.7	5.74
2004-02-01	6410000	132.3	227051	219600	5.6	5.64
2004-03-01	6660000	135.0	233056	209600	5.8	5.45
2004-04-01	6730000	133.7	233437	222300	5.6	5.83
2004-05-01	6850000	124.2	232956	211700	5.6	6.27
2004-06-01	6920000	116.1	232519	215700	5.6	6.29
2004-07-01	6840000	118.0	238888	212400	5.5	6.06
2004-08-01	6700000	121.7	241348	218100	5.4	5.87
2004-09-01	6680000	123.8	246868	211600	5.4	5.75
2004-10-01	6850000	124.8	246581	229200	5.5	5.72
2004-11-01	6960000	123.5	247029	224500	5.4	5.73
2004-12-01	6890000	122.0	246725	229600	5.4	5.75
2005-01-01	7100000	125.8	250158	223100	5.3	5.71
2005-02-01	6890000	126.5	251796	237300	5.4	5.63
2005-03-01	6960000	122.2	251961	229300	5.2	5.93
2005-04-01	7120000	114.4	254161	236300	5.2	5.86
2005-05-01	7080000	114.4	255438	228300	5.1	5.72
2005-06-01	7180000	109.8	252025	226100	5.0	5.58
2005-07-01	7140000	110.5	253900	229200	5.0	5.70
2005-08-01	7230000	108.3	257599	240100	4.9	5.82
2005-09-01	7260000	110.3	263183	240400	5.0	5.77
2005-10-01	7110000	107.4	265451	243900	5.0	6.07
2005-11-01	7020000	107.0	269373	237900	5.0	6.33
2005-12-01	6850000	108.3	272395	238600	4.9	6.27
2006-01-01	6700000	110.2	277343	244900	4.7	6.15
2006-02-01	6850000	111.8	280283	250800	4.8	6.25
2006-03-01	6840000	109.5	285365	238800	4.7	6.32
2006-04-01	6700000	106.5	287651	257000	4.7	6.51
2006-05-01	6580000	103.0	292927	238200	4.6	6.60
2006-06-01	6480000	102.3	299334	243200	4.6	6.68
2006-07-01	6310000	101.0	301402	238100	4.7	6.76
2006-08-01	6340000	104.7	306563	243900	4.7	6.52
2006-09-01	6290000	108.4	307094	226700	4.5	6.40
2006-10-01	6350000	110.1	304567	250400	4.4	6.36
2006-11-01	6340000	113.0	312164	240100	4.5	6.24
2006-12-01	6420000	112.1	320162	244700	4.4	6.14
2007-01-01	5740000	118.8	320249	254400	4.6	6.22
2007-02-01	5790000	117.0	332339	250800	4.5	6.29
2007-03-01	5460000	116.4	340354	262600	4.4	6.16
2007-04-01	5290000	115.7	345178	242500	4.5	6.18
2007-05-01	5270000	113.7	358048	245000	4.4	6.26
2007-06-01	5120000	108.2	369495	235500	4.6	6.66
2007-07-01	5070000	107.1	370632	246200	4.7	6.70
2007-08-01	4870000	110.0	384672	236500	4.6	6.57
2007-09-01	4580000	120.0	395532	240300	4.7	6.38
2007-10-01	4430000	124.0	408729	234300	4.7	6.38
2007-11-01	4460000	125.0	402136	249100	4.7	6.21
2007-12-01	4410000	128.2	401961	227700	5.0	6.10
2008-01-01	4170000	137.7	414045	232400	5.0	5.76
2008-02-01	4120000	142.1	410638	245300	4.9	5.92
2008-03-01	4160000	137.5	405798	229300	5.1	5.97
2008-04-01	4110000	137.1	409912	246400	5.0	5.92
2008-05-01	4140000	132.5	413850	229300	5.4	6.04
2008-06-01	4090000	126.1	407304	234300	5.6	6.32
2008-07-01	4150000	125.7	411182	237300	5.8	6.43
2008-08-01	4190000	129.7	402515	221000	6.1	6.48
2008-09-01	4270000	142.3	410404	225200	6.1	6.04
2008-10-01	4090000	145.2	412197	213200	6.5	6.20
2008-11-01	3770000	148.8	403443	221600	6.8	6.09
2008-12-01	4010000	162.9	392797	229600	7.3	5.33
2009-01-01	3820000	176.1	378587	208600	7.8	5.06
2009-02-01	3970000	171.3	379778	209700	8.3	5.13
2009-03-01	3860000	168.5	382678	205100	8.7	5.00
2009-04-01	3900000	177.6	367807	219200	9.0	4.81
2009-05-01	4000000	171.1	363286	222300	9.4	4.86
2009-06-01	4100000	160.8	352549	214700	9.5	5.42
2009-07-01	4370000	156.5	342729	214200	9.5	5.22
2009-08-01	4450000	161.6	332589	207100	9.6	5.19
2009-09-01	4620000	164.1	321297	216600	9.8	5.06
2009-10-01	5020000	170.8	307252	215100	10.0	4.95
2009-11-01	5440000	175.3	297049	218800	9.9	4.88
2009-12-01	4400000	178.9	286770	222600	9.9	4.93
2010-01-01	4190000	179.5	265226	218200	9.7	5.03
2010-02-01	4270000	178.5	264648	221900	9.8	4.99
2010-03-01	4490000	173.8	265447	224800	9.9	4.97
2010-04-01	4820000	170.4	265825	208300	9.9	5.10
2010-05-01	4880000	168.7	262759	230500	9.6	4.89
2010-06-01	4450000	161.7	262842	219500	9.4	4.74
2010-07-01	3450000	164.4	250462	212100	9.5	4.56
2010-08-01	3680000	171.8	253837	226600	9.5	4.43
2010-09-01	3840000	179.0	252704	228000	9.5	4.35
2010-10-01	3830000	181.4	257129	204200	9.5	4.23
2010-11-01	4020000	183.8	263784	219600	9.8	4.30
2010-12-01	4270000	179.1	259138	241200	9.4	4.71
2011-01-01	4450000	189.7	224863	240100	9.1	4.76
2011-02-01	4150000	189.8	230789	220100	9.0	4.95
2011-03-01	4240000	184.1	238010	220500	9.0	4.84
2011-04-01	4150000	184.4	240255	224700	9.1	4.84
2011-05-01	4130000	176.5	249884	222000	9.0	4.64
2011-06-01	4190000	172.4	264878	240200	9.1	4.51
2011-07-01	4150000	178.0	265010	229900	9.0	4.55
2011-08-01	4410000	180.5	268988	219600	9.0	4.27
2011-09-01	4340000	191.0	271511	217000	9.0	4.11
2011-10-01	4350000	200.8	271554	224800	8.8	4.07
2011-11-01	4400000	196.7	274069	214300	8.6	3.99
2011-12-01	4370000	200.2	280630	218600	8.5	3.96
2012-01-01	4510000	207.9	280762	221700	8.2	3.92
2012-02-01	4520000	210.0	279042	239900	8.3	3.89
2012-03-01	4460000	204.5	283245	239800	8.2	3.95
2012-04-01	4530000	192.3	286638	236400	8.2	3.91
2012-05-01	4590000	188.4	285760	239200	8.2	3.80
2012-06-01	4410000	181.5	286851	232600	8.2	3.68
2012-07-01	4600000	183.4	291084	237400	8.2	3.55
2012-08-01	4840000	190.8	287778	253200	8.1	3.60
2012-09-01	4780000	198.4	303328	254600	7.8	3.50
2012-10-01	4830000	203.7	309362	247200	7.8	3.38
2012-11-01	4960000	203.0	310789	245000	7.8	3.35
2012-12-01	4900000	204.4	316843	258300	7.9	3.35
2013-01-01	4870000	213.6	283391	251500	7.9	3.41
2013-02-01	4950000	209.8	284194	265100	7.7	3.53
2013-03-01	4960000	195.3	285294	257500	7.5	3.57
2013-04-01	4990000	187.0	291563	279300	7.5	3.45
2013-05-01	5150000	179.3	295682	263700	7.5	3.54
2013-06-01	5160000	168.5	289160	259800	7.5	4.07
2013-07-01	5380000	160.7	302915	262200	7.3	4.37
2013-08-01	5330000	158.0	303178	255300	7.2	4.46
2013-09-01	5260000	165.1	304098	269800	7.2	4.49
2013-10-01	5130000	166.6	306117	264300	7.2	4.19
2013-11-01	4830000	170.9	307877	277100	7.0	4.26
